run,source_txt,table_id,table_title,variable_type,variable_value,method,mean_asr,mean_ap50,successful,total
evaluation_results_rpga2,evaluation_results_rpga2.txt,2,距离 distance,distance,distance5,1220_195003_Beijing,0.9274,0.0584,6855,7392
evaluation_results_rpga2,evaluation_results_rpga2.txt,2,距离 distance,distance,distance10,1220_195003_Beijing,0.9313,0.0366,6884,7392
evaluation_results_rpga2,evaluation_results_rpga2.txt,2,距离 distance,distance,distance15,1220_195003_Beijing,0.9205,0.1184,6611,7182
evaluation_results_rpga2,evaluation_results_rpga2.txt,2,距离 distance,distance,distance20,1220_195003_Beijing,0.9171,0.1181,6471,7056
evaluation_results_rpga2,evaluation_results_rpga2.txt,3,天气 weather,weather,Dark,1220_195003_Beijing,0.9216,0.1246,4458,4837
evaluation_results_rpga2,evaluation_results_rpga2.txt,3,天气 weather,weather,Foggy,1220_195003_Beijing,0.9574,0.0327,4631,4837
evaluation_results_rpga2,evaluation_results_rpga2.txt,3,天气 weather,weather,Golden,1220_195003_Beijing,0.9235,0.05,4467,4837
evaluation_results_rpga2,evaluation_results_rpga2.txt,3,天气 weather,weather,HardNoon,1220_195003_Beijing,0.9001,0.0478,4354,4837
evaluation_results_rpga2,evaluation_results_rpga2.txt,3,天气 weather,weather,Normal,1220_195003_Beijing,0.9233,0.0401,4466,4837
evaluation_results_rpga2,evaluation_results_rpga2.txt,3,天气 weather,weather,Overcast,1220_195003_Beijing,0.919,0.0451,4445,4837
evaluation_results_rpga2,evaluation_results_rpga2.txt,4,检测器 detector,detector,d-detr,1220_195003_Beijing,0.9894,0.037,4102,4146
evaluation_results_rpga2,evaluation_results_rpga2.txt,4,检测器 detector,detector,detr,1220_195003_Beijing,0.951,0.0918,3943,4146
evaluation_results_rpga2,evaluation_results_rpga2.txt,4,检测器 detector,detector,faster-rcnn,1220_195003_Beijing,0.9426,0.0397,3908,4146
evaluation_results_rpga2,evaluation_results_rpga2.txt,4,检测器 detector,detector,mask-rcnn,1220_195003_Beijing,0.8743,0.0682,3625,4146
evaluation_results_rpga2,evaluation_results_rpga2.txt,4,检测器 detector,detector,pvt,1220_195003_Beijing,0.8164,0.2762,3385,4146
evaluation_results_rpga2,evaluation_results_rpga2.txt,4,检测器 detector,detector,yolov3,1220_195003_Beijing,0.925,0.0508,3835,4146
evaluation_results_rpga2,evaluation_results_rpga2.txt,4,检测器 detector,detector,yolox,1220_195003_Beijing,0.9703,0.0976,4023,4146
evaluation_results_mw3,evaluation_results_mw3.txt,1,俯仰角 pitch,pitch,pitch5,das,0.0711,0.7775,209,2940
evaluation_results_mw3,evaluation_results_mw3.txt,1,俯仰角 pitch,pitch,pitch10,das,0.0384,0.7899,113,2940
evaluation_results_mw3,evaluation_results_mw3.txt,1,俯仰角 pitch,pitch,pitch20,das,0.0221,0.7675,65,2940
evaluation_results_mw3,evaluation_results_mw3.txt,1,俯仰角 pitch,pitch,pitch30,das,0.0768,0.7382,216,2814
evaluation_results_mw3,evaluation_results_mw3.txt,1,俯仰角 pitch,pitch,pitch40,das,0.1991,0.7488,602,3024
evaluation_results_mw3,evaluation_results_mw3.txt,1,俯仰角 pitch,pitch,pitch50,das,0.3479,0.8076,1052,3024
evaluation_results_mw3,evaluation_results_mw3.txt,1,俯仰角 pitch,pitch,pitch60,das,0.5853,0.7437,1770,3024
evaluation_results_mw3,evaluation_results_mw3.txt,1,俯仰角 pitch,pitch,pitch70,das,0.79,0.599,2389,3024
evaluation_results_mw3,evaluation_results_mw3.txt,1,俯仰角 pitch,pitch,pitch80,das,0.9517,0.4059,2878,3024
evaluation_results_mw3,evaluation_results_mw3.txt,1,俯仰角 pitch,pitch,pitch89,das,0.9821,0.3142,2970,3024
evaluation_results_mw3,evaluation_results_mw3.txt,1,俯仰角 pitch,pitch,pitch5,gcac,0.5007,0.4123,1472,2940
evaluation_results_mw3,evaluation_results_mw3.txt,1,俯仰角 pitch,pitch,pitch10,gcac,0.5922,0.2548,1741,2940
evaluation_results_mw3,evaluation_results_mw3.txt,1,俯仰角 pitch,pitch,pitch20,gcac,0.7194,0.1344,2115,2940
evaluation_results_mw3,evaluation_results_mw3.txt,1,俯仰角 pitch,pitch,pitch30,gcac,0.834,0.0596,2347,2814
evaluation_results_mw3,evaluation_results_mw3.txt,1,俯仰角 pitch,pitch,pitch40,gcac,0.9306,0.0557,2814,3024
evaluation_results_mw3,evaluation_results_mw3.txt,1,俯仰角 pitch,pitch,pitch50,gcac,0.9815,0.1499,2968,3024
evaluation_results_mw3,evaluation_results_mw3.txt,1,俯仰角 pitch,pitch,pitch60,gcac,0.9894,0.2296,2992,3024
evaluation_results_mw3,evaluation_results_mw3.txt,1,俯仰角 pitch,pitch,pitch70,gcac,0.994,0.2155,3006,3024
